,,,,,SCA,,SCA Types,,,,,GCA,,GCA Types,,,,,,
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
David de Gea,es ESP,GK,28,38,2,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,26,38,30,0.79,28,1,0,1,0,0,0,0,0,0,0,0,0,Matches
Victor Lindel?f,se SWE,DF,25,34.4,17,0.49,15,1,0,1,0,2,0.06,2,0,0,0,0,0,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,47,1.38,40,2,5,0,0,6,0.18,5,0,1,0,0,0,Matches
Marcus Rashford,eng ENG,FW,21,29.4,93,3.17,65,2,11,4,10,20,0.68,11,0,4,0,4,1,Matches
Anthony Martial,fr FRA,FW,23,29.2,92,3.16,72,0,12,3,5,18,0.62,13,0,2,1,2,0,Matches
Daniel James,wal WAL,FW,21,25.4,64,2.52,44,0,4,5,11,8,0.31,8,0,0,0,0,0,Matches
Fred,br BRA,MF,26,24,83,3.45,64,8,4,2,5,1,0.04,1,0,0,0,0,0,Matches
Scott McTominay,sco SCO,MF,22,19.7,35,1.78,25,0,1,3,5,3,0.15,2,0,0,0,0,1,Matches
Luke Shaw,eng ENG,DF,24,19.3,42,2.18,34,4,1,1,2,1,0.05,1,0,0,0,0,0,Matches
Nemanja Mati?,rs SRB,MF,30,17.6,43,2.45,40,0,2,0,1,4,0.23,4,0,0,0,0,0,Matches
Andreas Pereira,br BRA,"MF,FW",23,16.5,57,3.46,44,6,3,2,2,7,0.42,6,1,0,0,0,0,Matches
Bruno Fernandes,pt POR,MF,24,13.2,57,4.33,39,12,1,2,3,12,0.91,6,3,0,0,3,0,Matches
Paul Pogba,fr FRA,MF,26,13.4,57,4.26,49,0,4,0,4,7,0.52,5,0,1,0,1,0,Matches
Mason Greenwood,eng ENG,FW,17,14.7,36,2.45,32,0,2,0,2,7,0.48,7,0,0,0,0,0,Matches
Brandon Williams,eng ENG,DF,18,11.2,24,2.15,21,1,1,0,1,1,0.09,0,0,0,0,1,0,Matches
Ashley Young,eng ENG,DF,34,10.6,25,2.36,11,13,0,0,1,0,0,0,0,0,0,0,0,Matches
Jesse Lingard,eng ENG,"MF,FW",26,10.4,38,3.66,33,0,2,1,2,3,0.29,3,0,0,0,0,0,Matches
Juan Mata,es ESP,"MF,FW",31,8.4,38,4.51,31,3,1,2,1,2,0.24,2,0,0,0,0,0,Matches
Axel Tuanzebe,eng ENG,DF,21,2.1,2,0.95,1,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Timothy Fosu-Mensah,nl NED,DF,21,1.5,3,1.99,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Phil Jones,eng ENG,DF,27,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Eric Bailly,ci CIV,DF,25,1.7,1,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Rojo,ar ARG,DF,29,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Diogo Dalot,pt POR,DF,20,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Odion Ighalo,ng NGA,FW,30,1.1,5,4.46,3,0,2,0,0,0,0,0,0,0,0,0,0,Matches
Tahith Chong,nl NED,"FW,MF",19,0.4,2,4.86,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Angel Gomes,eng ENG,MF,18,0.2,2,8.57,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
James Garner,eng ENG,MF,18,0.1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Squad Total,,,,38,896,23.58,701,53,56,27,57,102,2.68,76,4,8,1,11,2,
