,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
Marten de Roon\Marten-de-Roon,nl NED,MF,29-291,13.1,30,2.29,29,0,0,0,0,1,3,0.23,3,0,0,0,0,0,0,Matches
Hans Hateboer\Hans-Hateboer,nl NED,DF,27-005,13.0,28,2.16,25,0,0,3,0,0,1,0.08,1,0,0,0,0,0,0,Matches
Berat Djimsiti\Berat-Djimsiti,al ALB,DF,27-330,11.8,12,1.01,10,1,0,0,1,0,2,0.17,1,1,0,0,0,0,0,Matches
Remo Freuler\Remo-Freuler,ch SUI,MF,28-274,11.8,26,2.21,18,1,2,2,1,2,5,0.42,4,0,0,0,0,1,0,Matches
Rafael Tolói\Rafael-Toloi,br BRA,DF,30-096,11.7,12,1.03,12,0,0,0,0,0,1,0.09,1,0,0,0,0,0,0,Matches
Robin Gosens\Robin-Gosens,de GER,DF,26-193,11.3,37,3.28,32,1,1,0,2,1,5,0.44,5,0,0,0,0,0,0,Matches
Duván Zapata\Duvan-Zapata,co COL,FW,29-288,11.2,54,4.80,40,0,4,5,5,0,9,0.80,7,0,0,0,2,0,0,Matches
Cristian Romero\Cristian-Romero,ar ARG,DF,22-262,10.6,9,0.85,5,0,1,1,1,1,3,0.28,2,0,1,0,0,0,0,Matches
José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,31-009,11.4,8,0.70,8,0,0,0,0,0,2,0.17,2,0,0,0,0,0,0,Matches
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,25-302,8.7,2,0.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Papu Gómez\Papu-Gomez,ar ARG,FWMF,32-334,7.4,36,4.86,20,4,7,1,4,0,5,0.68,4,0,1,0,0,0,0,Matches
Josip Iličić\Josip-Ilicic,si SVN,FWMF,32-351,7.1,48,6.78,35,3,5,3,2,0,11,1.55,6,0,3,1,1,0,0,Matches
Matteo Pessina\Matteo-Pessina,it ITA,MF,23-268,6.8,24,3.52,22,0,0,1,0,1,4,0.59,4,0,0,0,0,0,0,Matches
Marco Sportiello\Marco-Sportiello,it ITA,GK,28-249,7.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,27-255,7.4,40,5.43,28,8,1,0,2,1,5,0.68,4,1,0,0,0,0,0,Matches
Mario Pašalić\Mario-Pasalic,hr CRO,MF,25-340,5.8,27,4.63,25,0,1,0,0,1,4,0.69,4,0,0,0,0,0,0,Matches
Luis Muriel\Luis-Muriel,co COL,FW,29-273,5.1,18,3.55,11,1,2,3,0,1,4,0.79,2,0,1,0,0,1,0,Matches
Johan Mojica\Johan-Mojica,co COL,DFFW,28-146,3.3,4,1.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fabio Depaoli\Fabio-Depaoli,it ITA,DF,23-265,2.1,4,1.88,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,21-013,1.9,5,2.63,5,0,0,0,0,0,1,0.53,1,0,0,0,0,0,0,Matches
Sam Lammers\Sam-Lammers,nl NED,FWMF,23-259,2.2,7,3.12,6,0,1,0,0,0,1,0.45,0,0,1,0,0,0,0,Matches
Matteo Ruggeri\Matteo-Ruggeri,it ITA,DF,18-187,1.3,2,1.54,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mattia Caldara\Mattia-Caldara,it ITA,DF,26-254,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Aleksei Miranchuk\Aleksei-Miranchuk,ru RUS,FWMF,25-089,1.7,6,3.58,4,1,1,0,0,0,1,0.60,0,0,1,0,0,0,0,Matches
Cristiano Piccini\Cristiano-Piccini,it ITA,DF,28-110,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Joakim Mæhle\Joakim-Maehle,dk DEN,DF,23-239,0.5,1,2.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Amad Traoré\Amad-Traore,ci CIV,MF,18-187,0.2,3,19.29,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,19-115,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Squad Total,,,28.0,16.0,443,27.69,348,21,28,19,18,9,67,4.19,51,2,8,1,3,2,0,
Opponent Total,,,27.7,16.0,211,13.19,155,14,14,11,12,5,39,2.44,30,3,0,1,3,2,0,
