,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Marten de Roon\Marten-de-Roon,nl NED,MF,29-291,13.1,727,849,85.6,14349,4519,265,291,91.1,359,397,90.4,96,141,68.1,0,0.7,-0.7,9,100,9,2,86,Matches
Hans Hateboer\Hans-Hateboer,nl NED,DF,27-005,13.0,595,686,86.7,9002,3073,347,379,91.6,203,236,86.0,35,53,66.0,0,0.8,-0.8,16,26,17,7,54,Matches
Berat Djimsiti\Berat-Djimsiti,al ALB,DF,27-330,11.8,628,725,86.6,11743,4091,279,315,88.6,256,281,91.1,89,112,79.5,1,1.3,-0.3,5,57,8,1,55,Matches
Remo Freuler\Remo-Freuler,ch SUI,MF,28-274,11.8,674,772,87.3,12281,3266,275,308,89.3,317,351,90.3,69,90,76.7,3,1.7,+1.3,9,69,17,2,82,Matches
Rafael Tolói\Rafael-Toloi,br BRA,DF,30-096,11.7,532,640,83.1,10135,3843,225,240,93.8,232,269,86.2,68,110,61.8,0,0.3,-0.3,6,52,8,1,55,Matches
Robin Gosens\Robin-Gosens,de GER,DF,26-193,11.3,508,642,79.1,8164,3216,286,331,86.4,181,218,83.0,34,66,51.5,3,2.5,+0.5,16,31,23,7,71,Matches
Duván Zapata\Duvan-Zapata,co COL,FW,29-288,11.2,270,332,81.3,3694,481,176,201,87.6,76,92,82.6,8,13,61.5,4,2.7,+1.3,24,7,12,5,9,Matches
Cristian Romero\Cristian-Romero,ar ARG,DF,22-262,10.6,395,447,88.4,8470,2068,104,120,86.7,211,221,95.5,72,88,81.8,1,0.4,+0.6,3,9,4,0,24,Matches
José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,31-009,11.4,486,584,83.2,9601,3191,156,168,92.9,258,294,87.8,65,109,59.6,2,0.9,+1.1,7,38,1,0,31,Matches
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,25-302,8.7,175,245,71.4,5683,3221,23,24,95.8,66,67,98.5,83,150,55.3,0,0.0,0.0,1,3,1,0,1,Matches
Papu Gómez\Papu-Gomez,ar ARG,FWMF,32-334,7.4,356,432,82.4,7183,1977,119,136,87.5,171,194,88.1,57,87,65.5,2,1.4,+0.6,16,37,32,3,55,Matches
Josip Iličić\Josip-Ilicic,si SVN,FWMF,32-351,7.1,286,403,71.0,5349,1817,135,162,83.3,100,131,76.3,43,82,52.4,5,4.2,+0.8,31,29,30,5,56,Matches
Matteo Pessina\Matteo-Pessina,it ITA,MF,23-268,6.8,296,350,84.6,4874,1161,140,159,88.1,132,148,89.2,19,30,63.3,0,0.5,-0.5,6,27,13,0,40,Matches
Marco Sportiello\Marco-Sportiello,it ITA,GK,28-249,7.3,165,201,82.1,4640,2526,27,27,100.0,80,81,98.8,56,91,61.5,0,0.0,0.0,0,0,0,0,0,Matches
Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,27-255,7.4,279,390,71.5,5642,1727,100,119,84.0,123,154,79.9,46,93,49.5,3,2.8,+0.2,26,21,19,2,51,Matches
