,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marten de Roon\Marten-de-Roon,nl NED,MF,29-291,13.1,1,11,2,18.2,0.84,0.15,0.09,0.50,24.4,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
Hans Hateboer\Hans-Hateboer,nl NED,DF,27-005,13.0,2,20,11,55.0,1.54,0.85,0.10,0.18,10.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches
Berat Djimsiti\Berat-Djimsiti,al ALB,DF,27-330,11.8,0,4,0,0.0,0.34,0.00,0.00,,9.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Remo Freuler\Remo-Freuler,ch SUI,MF,28-274,11.8,1,10,1,10.0,0.85,0.08,0.10,1.00,16.8,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
Rafael Tolói\Rafael-Toloi,br BRA,DF,30-096,11.7,2,11,5,45.5,0.94,0.43,0.18,0.40,13.3,0,0,0,2.4,2.4,0.22,-0.4,-0.4,Matches
Robin Gosens\Robin-Gosens,de GER,DF,26-193,11.3,5,21,8,38.1,1.86,0.71,0.24,0.63,12.3,0,0,0,3.1,3.1,0.15,+1.9,+1.9,Matches
Duván Zapata\Duvan-Zapata,co COL,FW,29-288,11.2,7,37,15,40.5,3.29,1.33,0.16,0.40,12.9,0,1,1,6.9,6.1,0.16,+0.1,-0.1,Matches
Cristian Romero\Cristian-Romero,ar ARG,DF,22-262,10.6,0,7,3,42.9,0.66,0.28,0.00,0.00,10.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,31-009,11.4,0,1,0,0.0,0.09,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,25-302,8.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Papu Gómez\Papu-Gomez,ar ARG,FWMF,32-334,7.4,4,29,12,41.4,3.92,1.62,0.14,0.33,19.4,1,0,0,2.2,2.2,0.08,+1.8,+1.8,Matches
Josip Iličić\Josip-Ilicic,si SVN,FWMF,32-351,7.1,2,27,7,25.9,3.81,0.99,0.07,0.29,18.6,1,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches
Matteo Pessina\Matteo-Pessina,it ITA,MF,23-268,6.8,1,6,3,50.0,0.88,0.44,0.17,0.33,18.2,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Marco Sportiello\Marco-Sportiello,it ITA,GK,28-249,7.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,27-255,7.4,1,26,8,30.8,3.53,1.09,0.04,0.13,20.8,6,0,0,2.2,2.2,0.09,-1.2,-1.2,Matches
Mario Pašalić\Mario-Pasalic,hr CRO,MF,25-340,5.8,1,5,4,80.0,0.86,0.69,0.20,0.25,15.9,0,0,0,0.9,0.9,0.19,+0.1,+0.1,Matches
