,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,31,22.2,940,1290,72.9,17535,5555,463,538,86.1,314,411,76.4,144,278,51.8,14,13.9,+0.1,76,83,91,14,164,Matches
Keylor Navas\Keylor-Navas,cr CRC,GK,32,21.0,468,544,86.0,12305,6829,88,88,100.0,232,235,98.7,146,219,66.7,0,0.0,0.0,0,2,0,0,0,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,34,17.5,1440,1502,95.9,30319,9937,456,465,98.1,709,733,96.7,266,290,91.7,0,0.0,0.0,0,97,5,0,89,Matches
Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,29,18.4,1468,1590,92.3,24184,6455,763,810,94.2,576,611,94.3,111,127,87.4,2,3.0,-1.0,26,138,16,1,134,Matches
Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,20,16.8,515,671,76.8,7497,1831,327,396,82.6,139,185,75.1,35,50,70.0,5,8.5,-3.5,38,23,26,7,48,Matches
Juan Bernat\Juan-Bernat,es ESP,DFMF,26,15.4,1011,1122,90.1,15051,3698,595,633,94.0,367,401,91.5,34,50,68.0,4,2.3,+1.7,14,50,16,3,48,Matches
Marco Verratti\Marco-Verratti,it ITA,MF,26,16.5,1607,1733,92.7,27030,8132,802,842,95.2,605,631,95.9,160,204,78.4,5,3.0,+2.0,25,162,43,6,163,Matches
Marquinhos\Marquinhos,br BRA,MFDF,25,16.4,1207,1294,93.3,24188,6825,408,428,95.3,589,612,96.2,186,221,84.2,1,0.5,+0.5,3,105,14,0,83,Matches
Neymar\Neymar,br BRA,MFFW,27,14.6,759,961,79.0,12551,4478,417,475,87.8,221,274,80.7,91,159,57.2,6,5.9,+0.1,39,110,71,6,149,Matches
Mauro Icardi\Mauro-Icardi,ar ARG,FW,26,14.1,149,178,83.7,2128,534,78,88,88.6,42,50,84.0,11,12,91.7,2,2.6,-0.6,11,11,6,0,16,Matches
Thomas Meunier\Thomas-Meunier,be BEL,DF,27,13.8,772,925,83.5,14310,3483,335,381,87.9,331,380,87.1,95,129,73.6,1,1.9,-0.9,18,42,18,9,55,Matches
Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,23,13.6,1061,1119,94.8,20133,5909,413,422,97.9,516,538,95.9,126,143,88.1,0,0.1,-0.1,2,41,0,0,44,Matches
Abdou Diallo\Abdou-Diallo,fr FRA,DF,23,13.3,986,1061,92.9,19786,6924,337,352,95.7,490,515,95.1,149,174,85.6,1,0.1,+0.9,3,84,5,1,72,Matches
Pablo Sarabia\Pablo-Sarabia,es ESP,FWMF,27,12.9,524,677,77.4,8099,2092,299,338,88.5,177,223,79.4,34,78,43.6,3,2.9,+0.1,19,52,23,6,59,Matches
Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,26,9.5,605,671,90.2,8685,2974,352,376,93.6,208,225,92.4,25,39,64.1,0,0.2,-0.2,2,36,8,2,36,Matches
Leandro Paredes\Leandro-Paredes,ar ARG,MF,25,9.0,856,913,93.8,16287,4826,368,380,96.8,351,364,96.4,126,154,81.8,0,0.2,-0.2,3,96,6,0,84,Matches
Julian Draxler\Julian-Draxler,de GER,MF,25,7.6,431,485,88.9,7215,1648,231,254,90.9,159,171,93.0,35,47,74.5,4,1.9,+2.1,11,34,19,2,44,Matches
Colin Dagba\Colin-Dagba,fr FRA,DF,20,7.4,372,414,89.9,5527,1409,217,231,93.9,141,155,91.0,10,20,50.0,0,0.6,-0.6,5,7,8,4,14,Matches
Edinson Cavani\Edinson-Cavani,uy URU,FW,32,6.7,120,140,85.7,1823,296,64,73,87.7,42,45,93.3,7,13,53.8,1,1.5,-0.5,10,6,6,2,11,Matches
Ander Herrera\Ander-Herrera,es ESP,MFDF,29,6.1,466,503,92.6,7483,1724,252,260,96.9,181,195,92.8,26,31,83.9,1,0.5,+0.5,6,36,4,2,30,Matches
Thilo Kehrer\Thilo-Kehrer,de GER,DF,22,5.3,376,402,93.5,6697,1550,161,172,93.6,181,189,95.8,30,33,90.9,0,0.3,-0.3,2,19,2,0,16,Matches
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,30,5.0,92,112,82.1,1240,168,58,66,87.9,28,33,84.8,2,4,50.0,1,0.6,+0.4,4,1,7,0,9,Matches
Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,17,5.0,309,336,92.0,6252,1897,92,104,88.5,174,183,95.1,41,44,93.2,0,0.2,-0.2,3,21,0,0,24,Matches
Alphonse Areola\Alphonse-Areola,fr FRA,GK,26,3.0,56,58,96.6,1130,742,14,14,100.0,32,32,100.0,7,9,77.8,0,0.0,0.0,0,0,0,0,0,Matches
