,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,31,22.2,8,73,22,30.1,3.29,0.99,0.10,0.32,20.5,8,1,2,9.1,7.6,0.10,-1.1,-0.6,Matches
Keylor Navas\Keylor-Navas,cr CRC,GK,32,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,34,17.5,0,6,2,33.3,0.34,0.11,0.00,0.00,11.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,29,18.4,1,11,3,27.3,0.60,0.16,0.09,0.33,17.6,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,20,16.8,18,88,49,55.7,5.23,2.91,0.20,0.37,13.9,0,0,0,17.1,17.1,0.20,+0.9,+0.9,Matches
Juan Bernat\Juan-Bernat,es ESP,DFMF,26,15.4,0,6,1,16.7,0.39,0.06,0.00,0.00,14.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Marco Verratti\Marco-Verratti,it ITA,MF,26,16.5,0,1,0,0.0,0.06,0.00,0.00,,8.6,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
Marquinhos\Marquinhos,br BRA,MFDF,25,16.4,3,11,3,27.3,0.67,0.18,0.27,1.00,8.2,0,0,0,1.8,1.8,0.16,+1.2,+1.2,Matches
Neymar\Neymar,br BRA,MFFW,27,14.6,13,64,31,48.4,4.37,2.12,0.14,0.29,17.6,10,4,5,12.7,8.9,0.14,+0.3,+0.1,Matches
Mauro Icardi\Mauro-Icardi,ar ARG,FW,26,14.1,12,36,20,55.6,2.56,1.42,0.33,0.60,8.9,0,0,0,9.9,9.9,0.28,+2.1,+2.1,Matches
Thomas Meunier\Thomas-Meunier,be BEL,DF,27,13.8,0,4,2,50.0,0.29,0.14,0.00,0.00,16.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,23,13.6,0,6,2,33.3,0.44,0.15,0.00,0.00,12.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Abdou Diallo\Abdou-Diallo,fr FRA,DF,23,13.3,0,5,2,40.0,0.37,0.15,0.00,0.00,6.3,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
Pablo Sarabia\Pablo-Sarabia,es ESP,FWMF,27,12.9,4,32,10,31.3,2.47,0.77,0.13,0.40,15.0,0,0,0,4.0,4.0,0.13,0.0,0.0,Matches
Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,26,9.5,1,6,3,50.0,0.63,0.31,0.17,0.33,9.4,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Matches
Leandro Paredes\Leandro-Paredes,ar ARG,MF,25,9.0,0,18,5,27.8,1.99,0.55,0.00,0.00,26.4,2,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Julian Draxler\Julian-Draxler,de GER,MF,25,7.6,0,13,6,46.2,1.71,0.79,0.00,0.00,17.8,0,0,0,1.5,1.5,0.11,-1.5,-1.5,Matches
Colin Dagba\Colin-Dagba,fr FRA,DF,20,7.4,0,2,0,0.0,0.27,0.00,0.00,,19.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Edinson Cavani\Edinson-Cavani,uy URU,FW,32,6.7,4,28,10,35.7,4.17,1.49,0.11,0.30,10.2,1,1,1,7.6,6.9,0.25,-3.6,-3.9,Matches
Ander Herrera\Ander-Herrera,es ESP,MFDF,29,6.1,1,6,2,33.3,0.99,0.33,0.17,0.50,19.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
Thilo Kehrer\Thilo-Kehrer,de GER,DF,22,5.3,1,4,3,75.0,0.75,0.56,0.25,0.33,11.1,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,30,5.0,3,18,7,38.9,3.59,1.40,0.17,0.43,11.3,0,0,0,2.4,2.4,0.13,+0.6,+0.6,Matches
Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,17,5.0,2,2,2,100.0,0.40,0.40,1.00,1.00,4.5,0,0,0,0.4,0.4,0.19,+1.6,+1.6,Matches
Alphonse Areola\Alphonse-Areola,fr FRA,GK,26,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergio Rico\Sergio-Rico,es ESP,GK,25,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mitchel Bakker\Mitchel-Bakker,nl NED,DF,19,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marcin Bułka\Marcin-Bulka,pl POL,GK,19,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,17,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Loïc Mbe Soh\Loic-Mbe-Soh,fr FRA,DF,18,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Arthur Zagre\Arthur-Zagre,fr FRA,MF,17,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jesé\Jese,es ESP,FW,26,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.2,27.0,71,440,185,42.0,16.30,6.85,0.15,0.35,15.3,21,6,8,70.9,64.8,0.15,+0.1,+0.2,
Opponent Total,,,26.1,27.0,23,269,82,30.5,9.96,3.04,0.09,0.28,18.3,7,0,0,22.7,22.7,0.08,+0.3,+0.3,
