,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
David de Gea,es ESP,GK,28,38,934,590,344,78,0,108,23,0,0,0,0,0,545,80,309,55,695,0,1,148,726,1,18,3,5,Matches
Harry Maguire,eng ENG,DF,26,38,2403,2327,76,66,1,362,91,1,0,0,0,0,1787,268,348,320,1862,119,10,11,2127,5,45,21,11,Matches
Victor Lindel?f,se SWE,DF,25,34.4,2013,1955,58,46,2,276,30,1,0,0,0,0,1572,199,242,253,1606,76,12,14,1764,2,33,25,20,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,2064,1680,384,16,0,299,16,71,0,0,0,0,1334,407,323,79,1558,43,368,2,1676,5,23,35,94,Matches
Marcus Rashford,eng ENG,FW,21,29.4,988,961,27,2,8,162,26,29,9,5,1,2,742,120,126,89,833,28,8,14,758,3,18,26,43,Matches
Anthony Martial,fr FRA,FW,23,29.2,721,692,29,4,5,204,3,20,0,0,0,0,587,94,40,123,560,12,4,6,575,2,7,14,43,Matches
Daniel James,wal WAL,FW,21,25.4,803,789,14,4,3,183,21,72,3,1,1,0,588,118,97,99,681,14,5,1,586,3,18,15,63,Matches
Fred,br BRA,MF,26,24,1714,1608,106,53,3,344,83,27,42,15,16,0,1231,232,251,1200,466,29,8,6,1463,2,18,20,37,Matches
Scott McTominay,sco SCO,MF,22,19.7,995,966,29,28,2,158,47,9,0,0,0,0,745,111,139,44,878,45,1,5,816,2,18,21,25,Matches
Luke Shaw,eng ENG,DF,24,19.3,1296,1137,159,19,1,243,14,24,5,4,0,0,910,203,183,972,111,55,135,3,1121,1,12,19,37,Matches
Nemanja Mati?,rs SRB,MF,30,17.6,1240,1210,30,26,1,220,30,2,0,0,0,0,979,125,136,1029,147,40,4,5,1095,1,11,17,22,Matches
Andreas Pereira,br BRA,"MF,FW",23,16.5,770,692,78,23,1,157,30,29,37,14,12,3,518,125,127,89,634,23,9,3,566,4,11,22,27,Matches
Bruno Fernandes,pt POR,MF,24,13.2,853,751,102,27,4,140,53,22,55,15,24,7,528,138,187,64,768,13,5,2,608,3,12,23,39,Matches
Paul Pogba,fr FRA,MF,26,13.4,1026,998,28,27,6,214,63,7,0,0,0,0,735,136,155,112,864,24,1,7,880,5,10,16,23,Matches
Mason Greenwood,eng ENG,FW,17,14.7,488,485,3,0,0,101,12,13,2,0,1,0,391,51,46,382,93,9,0,0,416,1,6,7,11,Matches
Brandon Williams,eng ENG,DF,18,11.2,636,553,83,7,1,91,6,14,1,0,0,0,452,98,86,157,380,15,75,1,531,3,8,15,12,Matches
Ashley Young,eng ENG,DF,34,10.6,735,553,182,28,1,114,39,24,35,13,14,6,406,130,199,86,502,17,119,5,565,4,21,17,19,Matches
Jesse Lingard,eng ENG,"MF,FW",26,10.4,409,389,20,3,1,81,4,5,2,0,0,0,327,54,28,19,366,9,6,8,351,3,5,8,11,Matches
Juan Mata,es ESP,"MF,FW",31,8.4,523,494,29,8,2,116,11,14,10,5,1,2,377,67,79,444,64,4,6,2,442,2,3,6,15,Matches
Axel Tuanzebe,eng ENG,DF,21,2.1,141,129,12,1,0,16,3,1,0,0,0,0,104,24,13,18,104,5,11,1,127,0,0,1,2,Matches
Timothy Fosu-Mensah,nl NED,DF,21,1.5,73,66,7,0,0,4,1,2,0,0,0,0,51,13,9,15,47,4,7,0,62,0,2,1,1,Matches
Phil Jones,eng ENG,DF,27,1.5,89,86,3,2,0,22,3,1,0,0,0,0,67,14,8,7,73,3,1,2,79,0,2,1,1,Matches
Eric Bailly,ci CIV,DF,25,1.7,72,72,0,0,0,7,1,0,0,0,0,0,47,14,11,10,52,5,0,1,64,0,0,0,1,Matches
Marcos Rojo,ar ARG,DF,29,1.4,55,45,10,2,0,6,2,2,0,0,0,0,25,12,18,39,5,1,8,0,37,0,3,0,0,Matches
Diogo Dalot,pt POR,DF,20,0.7,64,50,14,0,0,8,0,2,1,0,0,0,34,20,10,7,40,2,13,1,51,0,1,2,1,Matches
Odion Ighalo,ng NGA,FW,30,1.1,23,23,0,0,0,4,0,0,0,0,0,0,18,3,2,3,19,1,0,0,21,0,0,0,0,Matches
Tahith Chong,nl NED,"FW,MF",19,0.4,14,14,0,0,0,2,0,0,0,0,0,0,13,1,0,14,0,0,0,0,9,0,1,2,1,Matches
Angel Gomes,eng ENG,MF,18,0.2,13,13,0,0,1,0,1,0,0,0,0,0,10,0,3,0,13,0,0,0,11,0,2,0,0,Matches
James Garner,eng ENG,MF,18,0.1,15,15,0,0,0,6,1,0,0,0,0,0,15,0,0,2,12,0,0,1,15,0,0,0,0,Matches
Squad Total,,,,38,21170,19343,1827,470,43,3648,614,392,202,72,70,20,15138,2857,3175,5731,13433,596,817,249,17542,52,308,337,564,
