,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
David de Gea,es ESP,GK,28,38,726,934,77.7,18869,11023,0,4,0,454,457,99.3,272,473,57.5,0,0,0,0,6,0,0,0,Matches
Harry Maguire,eng ENG,DF,26,38,2127,2403,88.5,46934,11790,19,29,65.5,1389,1513,91.8,719,861,83.5,1,0.6,0.4,16,167,2,0,106,Matches
Victor Lindel?f,se SWE,DF,25,34.4,1764,2013,87.6,35555,11016,15,37,40.5,1280,1370,93.4,469,606,77.4,0,0.3,-0.3,4,82,1,0,95,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,1676,2064,81.2,24885,9484,41,116,35.3,1498,1705,87.9,137,243,56.4,4,2.9,1.1,26,106,20,10,184,Matches
Marcus Rashford,eng ENG,FW,21,29.4,758,988,76.7,12428,3377,22,63,34.9,634,768,82.6,102,157,65,7,4.6,2.4,33,61,67,4,141,Matches
Anthony Martial,fr FRA,FW,23,29.2,575,721,79.8,8013,1715,25,69,36.2,496,582,85.2,54,70,77.1,6,4.1,1.9,31,36,33,1,67,Matches
Daniel James,wal WAL,FW,21,25.4,586,803,73,9010,2145,19,77,24.7,504,610,82.6,63,116,54.3,6,4,2,26,34,29,9,70,Matches
Fred,br BRA,MF,26,24,1463,1714,85.4,29437,7269,23,56,41.1,1045,1149,90.9,395,509,77.6,0,2.5,-2.5,37,155,15,3,150,Matches
Scott McTominay,sco SCO,MF,22,19.7,816,995,82,16601,4084,10,27,37,586,684,85.7,220,284,77.5,1,0.7,0.3,14,88,11,2,87,Matches
Luke Shaw,eng ENG,DF,24,19.3,1121,1296,86.5,16837,6228,18,44,40.9,1010,1104,91.5,93,148,62.8,0,1.5,-1.5,20,60,25,6,136,Matches
Nemanja Mati?,rs SRB,MF,30,17.6,1095,1240,88.3,20187,5092,9,27,33.3,850,925,91.9,236,288,81.9,2,1.2,0.8,17,117,12,1,100,Matches
Andreas Pereira,br BRA,"MF,FW",23,16.5,566,770,73.5,9873,2763,13,37,35.1,454,544,83.5,99,189,52.4,3,3.8,-0.8,31,54,17,4,83,Matches
Bruno Fernandes,pt POR,MF,24,13.2,608,853,71.3,11698,3233,6,38,15.8,463,564,82.1,139,251,55.4,7,2.5,4.5,34,72,23,2,100,Matches
Paul Pogba,fr FRA,MF,26,13.4,880,1026,85.8,17758,4790,12,32,37.5,652,727,89.7,216,267,80.9,3,2.7,0.3,27,118,27,1,114,Matches
Mason Greenwood,eng ENG,FW,17,14.7,416,488,85.2,6404,1161,14,26,53.8,355,396,89.6,47,66,71.2,1,0.7,0.3,13,21,9,1,28,Matches
Brandon Williams,eng ENG,DF,18,11.2,531,636,83.5,8464,2692,7,18,38.9,455,514,88.5,69,104,66.3,0,0.6,-0.6,13,28,19,4,64,Matches
Ashley Young,eng ENG,DF,34,10.6,565,735,76.9,11200,4597,3,20,15,441,495,89.1,121,220,55,0,1.2,-1.2,17,59,12,3,121,Matches
Jesse Lingard,eng ENG,"MF,FW",26,10.4,351,409,85.8,5155,995,15,25,60,299,334,89.5,37,50,74,0,0.9,-0.9,17,31,10,0,32,Matches
Juan Mata,es ESP,"MF,FW",31,8.4,442,523,84.5,7011,1625,6,24,25,376,404,93.1,60,95,63.2,2,2,0,19,41,18,2,46,Matches
Axel Tuanzebe,eng ENG,DF,21,2.1,127,141,90.1,2333,660,1,3,33.3,102,110,92.7,24,28,85.7,0,0,0,0,8,0,0,7,Matches
Timothy Fosu-Mensah,nl NED,DF,21,1.5,62,73,84.9,1076,303,2,4,50,50,58,86.2,10,11,90.9,0,0.1,-0.1,2,2,0,0,7,Matches
Phil Jones,eng ENG,DF,27,1.5,79,89,88.8,1388,398,2,3,66.7,60,66,90.9,17,20,85,0,0,0,0,6,0,0,1,Matches
Eric Bailly,ci CIV,DF,25,1.7,64,72,88.9,1266,433,0,1,0,49,54,90.7,15,17,88.2,0,0,0,0,2,0,0,4,Matches
Marcos Rojo,ar ARG,DF,29,1.4,37,55,67.3,747,323,0,1,0,28,32,87.5,9,22,40.9,0,0,0,0,3,0,0,8,Matches
Diogo Dalot,pt POR,DF,20,0.7,51,64,79.7,887,248,1,2,50,40,47,85.1,10,15,66.7,0,0,0,0,1,0,0,2,Matches
Odion Ighalo,ng NGA,FW,30,1.1,21,23,91.3,279,22,0,0,,19,21,90.5,2,2,100,0,0.1,-0.1,2,1,1,0,1,Matches
Tahith Chong,nl NED,"FW,MF",19,0.4,9,14,64.3,136,36,0,2,0,9,11,81.8,0,1,0,0,0,0,0,1,0,0,2,Matches
Angel Gomes,eng ENG,MF,18,0.2,11,13,84.6,235,83,1,1,100,7,9,77.8,3,3,100,0,0.1,-0.1,2,1,2,0,3,Matches
James Garner,eng ENG,MF,18,0.1,15,15,100,253,44,0,0,,12,12,100,3,3,100,0,0,0,0,1,0,0,1,Matches
Squad Total,,,,38,17542,21170,82.9,324919,97629,284,786,36.1,13617,15265,89.2,3641,5119,71.1,43,37,6,401,1362,353,53,1760,
