,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,Receiving,,,,,
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
David de Gea,es ESP,GK,28,38,997,927,997,0,0,0,658,0,0,,0,0,420,1852,878,373,372,99.7,0,0,Matches
Harry Maguire,eng ENG,DF,26,38,2828,429,1432,1468,166,57,2756,10,13,76.9,10,0,1833,14294,8411,1959,1915,97.8,7,10,Matches
Victor Lindel?f,se SWE,DF,25,34.4,2308,345,1251,1129,69,11,2252,3,8,37.5,4,0,1466,8828,4916,1571,1556,99,7,4,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,2560,104,741,1186,775,46,2182,59,91,64.8,60,3,1548,8335,4973,1570,1456,92.7,26,43,Matches
Marcus Rashford,eng ENG,FW,21,29.4,1378,20,91,559,853,163,1332,72,132,54.5,77,13,1019,7485,5234,1557,1103,70.8,71,48,Matches
Anthony Martial,fr FRA,FW,23,29.2,1074,18,51,400,692,188,1048,64,104,61.5,66,2,892,5737,3206,1399,897,64.1,66,68,Matches
Daniel James,wal WAL,FW,21,25.4,1085,10,135,437,622,100,1074,28,63,44.4,30,5,870,7222,5054,1097,827,75.4,33,46,Matches
Fred,br BRA,MF,26,24,2035,69,480,1216,487,23,1943,40,52,76.9,43,4,1482,7763,3976,1478,1393,94.2,28,40,Matches
Scott McTominay,sco SCO,MF,22,19.7,1289,69,324,782,258,23,1268,31,47,66,35,5,910,5100,2451,915,850,92.9,24,32,Matches
Luke Shaw,eng ENG,DF,24,19.3,1484,77,419,719,469,34,1329,24,33,72.7,25,1,961,5488,3281,1016,956,94.1,11,5,Matches
Nemanja Mati?,rs SRB,MF,30,17.6,1416,55,391,903,246,9,1388,23,29,79.3,24,0,1002,6305,3690,1053,1014,96.3,10,24,Matches
Andreas Pereira,br BRA,"MF,FW",23,16.5,990,12,102,504,457,61,911,20,38,52.6,23,0,717,4385,2366,879,715,81.3,41,41,Matches
Bruno Fernandes,pt POR,MF,24,13.2,1000,17,100,490,474,41,894,15,21,71.4,15,1,655,3372,2012,849,737,86.8,23,16,Matches
Paul Pogba,fr FRA,MF,26,13.4,1178,34,211,755,287,29,1151,22,35,62.9,25,1,896,4009,2093,952,908,95.4,13,26,Matches
Mason Greenwood,eng ENG,FW,17,14.7,645,5,68,286,328,60,642,21,31,67.7,21,1,506,2868,1580,683,516,75.5,31,22,Matches
Brandon Williams,eng ENG,DF,18,11.2,764,38,235,365,226,29,683,14,20,70,15,0,507,3205,2058,538,500,92.9,14,10,Matches
Ashley Young,eng ENG,DF,34,10.6,836,37,194,442,239,11,656,8,17,47.1,9,2,503,2167,1217,508,479,94.3,5,3,Matches
Jesse Lingard,eng ENG,"MF,FW",26,10.4,520,2,27,269,261,38,500,9,18,50,10,1,382,2256,1114,556,408,73.4,23,12,Matches
Juan Mata,es ESP,"MF,FW",31,8.4,589,3,36,320,266,33,560,5,12,41.7,7,0,459,2237,1120,605,489,80.8,10,12,Matches
Axel Tuanzebe,eng ENG,DF,21,2.1,166,8,59,95,26,0,154,0,3,0,0,0,111,774,408,113,109,96.5,1,2,Matches
Timothy Fosu-Mensah,nl NED,DF,21,1.5,84,2,20,49,20,3,77,1,1,100,1,0,50,229,123,67,57,85.1,2,1,Matches
Phil Jones,eng ENG,DF,27,1.5,116,12,60,56,9,2,113,0,0,,0,0,66,435,262,68,67,98.5,0,0,Matches
Eric Bailly,ci CIV,DF,25,1.7,87,15,39,50,0,0,87,1,1,100,1,0,58,249,145,52,52,100,0,2,Matches
Marcos Rojo,ar ARG,DF,29,1.4,70,9,24,35,12,3,60,0,1,0,0,0,39,201,87,41,40,97.6,1,0,Matches
Diogo Dalot,pt POR,DF,20,0.7,78,4,12,31,35,4,64,0,0,,0,0,46,230,124,49,46,93.9,0,5,Matches
Odion Ighalo,ng NGA,FW,30,1.1,46,1,1,22,25,14,46,4,7,57.1,4,0,38,206,96,56,35,62.5,2,5,Matches
Tahith Chong,nl NED,"FW,MF",19,0.4,20,1,2,9,10,2,20,1,3,33.3,1,0,20,112,57,23,17,73.9,2,0,Matches
Angel Gomes,eng ENG,MF,18,0.2,15,0,0,11,8,1,15,0,0,,0,0,13,78,50,18,14,77.8,0,1,Matches
James Garner,eng ENG,MF,18,0.1,17,1,1,12,4,0,17,0,0,,0,0,11,21,5,14,14,100,0,0,Matches
Squad Total,,,,38,25675,2324,7503,12600,7324,985,23880,475,780,60.9,506,39,17480,105443,60987,20059,17542,87.5,451,478,
