,,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
David de Gea,es ESP,GK,28,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Harry Maguire,eng ENG,DF,26,38,1,32,8,25,0.84,0.21,0.03,0.13,0,0,0,2,2,0.06,-1,-1,Matches
Victor Lindel?f,se SWE,DF,25,34.4,1,6,1,16.7,0.17,0.03,0.17,1,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,34.1,0,9,1,11.1,0.26,0.03,0,0,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
Marcus Rashford,eng ENG,FW,21,29.4,17,84,38,45.2,2.86,1.29,0.13,0.29,16,6,8,17.3,11.2,0.13,-0.3,-0.2,Matches
Anthony Martial,fr FRA,FW,23,29.2,17,79,38,48.1,2.71,1.3,0.22,0.45,0,0,1,10.9,10.1,0.13,6.1,6.9,Matches
Daniel James,wal WAL,FW,21,25.4,3,42,19,45.2,1.65,0.75,0.07,0.16,0,0,0,3.6,3.6,0.09,-0.6,-0.6,Matches
Fred,br BRA,MF,26,24,0,40,10,25,1.66,0.42,0,0,3,0,0,2,2,0.05,-2,-2,Matches
Scott McTominay,sco SCO,MF,22,19.7,4,30,10,33.3,1.52,0.51,0.13,0.4,0,0,0,1.5,1.5,0.05,2.5,2.5,Matches
Luke Shaw,eng ENG,DF,24,19.3,0,10,5,50,0.52,0.26,0,0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Nemanja Mati?,rs SRB,MF,30,17.6,0,7,2,28.6,0.4,0.11,0,0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Andreas Pereira,br BRA,"MF,FW",23,16.5,1,37,14,37.8,2.24,0.85,0.03,0.07,3,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
Bruno Fernandes,pt POR,MF,24,13.2,8,40,14,35,3.04,1.06,0.1,0.29,7,4,4,5.8,2.8,0.07,2.2,1.2,Matches
Paul Pogba,fr FRA,MF,26,13.4,1,21,7,33.3,1.57,0.52,0.05,0.14,2,0,1,2,1.2,0.06,-1,-0.2,Matches
Mason Greenwood,eng ENG,FW,17,14.7,10,38,20,52.6,2.59,1.36,0.26,0.5,0,0,0,3.6,3.6,0.1,6.4,6.4,Matches
Brandon Williams,eng ENG,DF,18,11.2,1,6,2,33.3,0.54,0.18,0.17,0.5,0,0,0,0.7,0.7,0.12,0.3,0.3,Matches
Ashley Young,eng ENG,DF,34,10.6,0,3,0,0,0.28,0,0,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jesse Lingard,eng ENG,"MF,FW",26,10.4,1,22,6,27.3,2.12,0.58,0.05,0.17,0,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches
Juan Mata,es ESP,"MF,FW",31,8.4,0,9,1,11.1,1.07,0.12,0,0,2,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
Axel Tuanzebe,eng ENG,DF,21,2.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Timothy Fosu-Mensah,nl NED,DF,21,1.5,0,1,0,0,0.66,0,0,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Phil Jones,eng ENG,DF,27,1.5,0,2,1,50,1.33,0.67,0,0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Eric Bailly,ci CIV,DF,25,1.7,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Marcos Rojo,ar ARG,DF,29,1.4,0,1,0,0,0.74,0,0,,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Diogo Dalot,pt POR,DF,20,0.7,0,1,0,0,1.34,0,0,,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Odion Ighalo,ng NGA,FW,30,1.1,0,7,3,42.9,6.24,2.67,0,0,0,0,0,1.5,1.5,0.22,-1.5,-1.5,Matches
Tahith Chong,nl NED,"FW,MF",19,0.4,0,1,0,0,2.43,0,0,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Angel Gomes,eng ENG,MF,18,0.2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
James Garner,eng ENG,MF,18,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
Squad Total,,,,38,65,528,200,37.9,13.89,5.26,0.1,0.28,33,10,14,59.4,48.8,0.1,5.6,6.2,
