,,,,Playing Time,,,Performance,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
David de Gea,es ESP,GK,28,38,38,"3,420",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,26,38,38,"3,420",1,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,2,2,0.6,0.05,0.01,0.07,0.05,0.07,Matches
Victor Lindel?f,se SWE,DF,25,35,35,"3,092",1,0,0,0,6,0,0.03,0,0.03,0.03,0.03,0.4,0.4,0.3,0.01,0.01,0.02,0.01,0.02,Matches
Aaron Wan-Bissaka,eng ENG,DF,21,35,34,"3,070",0,4,0,0,8,0,0,0.12,0.12,0,0.12,0.9,0.9,2.9,0.03,0.08,0.11,0.03,0.11,Matches
Marcus Rashford,eng ENG,FW,21,31,31,"2,643",17,7,6,8,3,0,0.58,0.24,0.82,0.37,0.61,17.3,11.2,4.6,0.59,0.16,0.74,0.38,0.54,Matches
Anthony Martial,fr FRA,FW,23,32,31,"2,624",17,6,0,1,1,0,0.58,0.21,0.79,0.58,0.79,10.9,10.1,4.1,0.37,0.14,0.51,0.35,0.49,Matches
Daniel James,wal WAL,FW,21,33,26,"2,287",3,6,0,0,4,0,0.12,0.24,0.35,0.12,0.35,3.6,3.6,4,0.14,0.16,0.3,0.14,0.3,Matches
Fred,br BRA,MF,26,29,23,"2,163",0,0,0,0,8,0,0,0,0,0,0,2,2,2.5,0.08,0.1,0.18,0.08,0.18,Matches
Scott McTominay,sco SCO,MF,22,27,20,"1,772",4,1,0,0,2,0,0.2,0.05,0.25,0.2,0.25,1.5,1.5,0.7,0.08,0.03,0.11,0.08,0.11,Matches
Luke Shaw,eng ENG,DF,24,24,20,"1,733",0,0,0,0,7,0,0,0,0,0,0,0.5,0.5,1.5,0.02,0.08,0.1,0.02,0.1,Matches
Nemanja Mati?,rs SRB,MF,30,21,18,"1,581",0,2,0,0,3,0,0,0.11,0.11,0,0.11,0.2,0.2,1.2,0.01,0.07,0.08,0.01,0.08,Matches
Andreas Pereira,br BRA,"MF,FW",23,25,18,"1,484",1,3,0,0,3,0,0.06,0.18,0.24,0.06,0.24,2.3,2.3,3.8,0.14,0.23,0.37,0.14,0.37,Matches
Bruno Fernandes,pt POR,MF,24,14,14,"1,186",8,7,4,4,2,0,0.61,0.53,1.14,0.3,0.83,5.8,2.8,2.5,0.44,0.19,0.63,0.21,0.4,Matches
Paul Pogba,fr FRA,MF,26,16,13,"1,204",1,3,0,1,1,0,0.07,0.22,0.3,0.07,0.3,2,1.2,2.7,0.15,0.2,0.35,0.09,0.29,Matches
Mason Greenwood,eng ENG,FW,17,31,12,"1,320",10,1,0,0,0,0,0.68,0.07,0.75,0.68,0.75,3.6,3.6,0.7,0.25,0.05,0.3,0.25,0.3,Matches
Brandon Williams,eng ENG,DF,18,17,11,"1,006",1,0,0,0,6,0,0.09,0,0.09,0.09,0.09,0.7,0.7,0.6,0.06,0.05,0.12,0.06,0.12,Matches
Ashley Young,eng ENG,DF,34,12,10,955,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,1.2,0.01,0.12,0.13,0.01,0.13,Matches
Jesse Lingard,eng ENG,"MF,FW",26,22,9,935,1,0,0,0,3,0,0.1,0,0.1,0.1,0.1,2.7,2.7,0.9,0.26,0.09,0.35,0.26,0.35,Matches
Juan Mata,es ESP,"MF,FW",31,19,8,758,0,2,0,0,1,0,0,0.24,0.24,0,0.24,1.1,1.1,2,0.13,0.24,0.37,0.13,0.37,Matches
Axel Tuanzebe,eng ENG,DF,21,5,2,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Timothy Fosu-Mensah,nl NED,DF,21,3,2,136,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.08,0.13,0.04,0.13,Matches
Phil Jones,eng ENG,DF,27,2,2,135,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.11,0,0.11,0.11,0.11,Matches
Eric Bailly,ci CIV,DF,25,4,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Rojo,ar ARG,DF,29,3,1,122,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.08,0,0.08,0.08,0.08,Matches
Diogo Dalot,pt POR,DF,20,4,1,67,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.24,0,0.24,0.24,0.24,Matches
Odion Ighalo,ng NGA,FW,30,11,0,101,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0.1,1.35,0.13,1.48,1.35,1.48,Matches
Tahith Chong,nl NED,"FW,MF",19,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.15,0,0.15,0.15,0.15,Matches
Angel Gomes,eng ENG,MF,18,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.63,0.63,0,0.63,Matches
James Garner,eng ENG,MF,18,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lee Grant,eng ENG,GK,36,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Sergio Romero,ar ARG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,,38,418,"3,420",65,43,10,14,73,0,1.71,1.13,2.84,1.45,2.58,59.4,48.8,37,1.56,0.97,2.54,1.28,2.26,
